Категория_службы,Наименование_организации,Телефон_дежурной_службы,Режим_работы,ФИО_руководителя,Телефон_руководителя
"Дежурная служба военной комендатуры","Военная комендатура Новосибирского гарнизона","+7 (383) 260-06-44","Круглосуточно","Покорев Антон Сергеевич","+7 (383) 260-06-44"
"Дежурная служба УФСБ по НСО","Управление Федеральной службы безопасности России по Новосибирской области","+7 (383) 269-72-69; +7 (383) 231-05-05","Круглосуточно","Сизов Сергей Николаевич","+7 (383) 269-72-69"
"Дежурные службы ГУ МЧС НСО","ГУ МЧС России по Новосибирской области","+7 (383) 222-19-52; +7 (383) 223-86-39","Круглосуточно","Орлов Виктор Викторович","+7 (383) 218-81-99"
"Дежурные службы ГУ МЧС НСО","ЦУКС ГУ МЧС РФ по НСО","+7 (383) 217-68-06; +7 (383) 222-19-52","Круглосуточно","Януков Алексей Александрович","+7 (383) 217-68-01"
"Дежурные службы полиции","Управление МВД по городу Новосибирску","02; +7 (383) 232-81-79","Круглосуточно","Катаров Алексей Юрьевич","+7 (383) 232-82-09"
"Дежурные службы полиции","Управление ГИБДД ГУ МВД России по Новосибирской области","+7 (383) 220-70-77; +7 (383) 232-13-00","Круглосуточно","Бабенков Александр Владимирович","+7 (383) 232-13-05"
"Дежурные службы полиции","Отдел ГИБДД УМВД России по г. Новосибирску","002; +7 (383) 232-23-10","Круглосуточно","Новиков Игорь Геннадьевич","+7 (383) 232-33-01"
"Дежурные службы полиции","Полк ДПС № 1 Управления МВД России по г. Новосибирску","002; +7 (383) 232-23-05","Круглосуточно","Хорошов Александр Владиславович","+7 (383) 232-23-02"
"Дежурные службы полиции","Отдельный батальон ГИБДД ГУ МВД по Новосибирской области","+7 (383) 232-85-40; +7 (383) 232-85-50","Круглосуточно","Быков Максим Владимирович","+7 (383) 232-85-32"
"Дежурные службы полиции","ГКУ НСО Центр организации дорожного движения","+7 (383) 228-62-45","Круглосуточно","Золотило Павел Сергеевич","+7 (383) 226-47-79"
"Дежурные службы полиции","Главное Управление МВД России по НСО","+7 (383) 232-70-89","","Булыков Андрей Владимирович","+7 (383) 232-75-03"
"Диспетчерские службы благоустройства","МКУ Гормост","+7 (383) 210-30-56; +7 (383) 210-31-36","Круглосуточно","Бодалаев Борис Бажаевич","+7 (383) 362-03-60"
"Диспетчерские службы благоустройства","МКУ Городской центр организации дорожного движения","+7 (383) 224-08-52","Круглосуточно","Марков Валерий Анатольевич","+7 (383) 224-77-00"
"Диспетчерские службы благоустройства","МКУ Горзеленхоз","+7 (383) 224-15-47","","Цверкова Наталья Владимировна","+7 (383) 224-52-31"
"Диспетчерские службы благоустройства","Управление автомобильных дорог мэрии города Новосибирска","+7 (383) 227-42-22","Пн-Чт 09:00-18:00; Пт 09:00-17:00","Эпов Сергей Витальевич","+7 (383) 224-08-07"
"Диспетчерские службы коммунального хозяйства","МУП Горводоканал","+7 (383) 210-33-88; +7 (383) 347-74-74","Круглосуточно","Борил Юрий Николаевич","+7 (383) 210-36-55"
"Диспетчерские службы коммунального хозяйства","Филиал Новосибирские городские электрические сети АО РЭС","+7 (383) 224-89-70; +7 (383) 224-82-52","Круглосуточно","Шаповатов Дмитрий Вячеславович","+7 (383) 289-42-50"
"Диспетчерские службы коммунального хозяйства","Филиал в Новосибирской области АО Газпром газораспределение Томск","+7 (383) 224-45-50; 04","Круглосуточно","Клюсков Евгений Валерьевич","+7 (383) 373-42-73"
"Диспетчерские службы коммунального хозяйства","АО Новосибирская теплосетевая компания","+7 (383) 289-01-47; +7 (383) 289-01-45","","Рубенко Максим Сергеевич","+7 (383) 289-04-30"
"Диспетчерские службы коммунального хозяйства","АО Новосибирскоблгаз","+7 (383) 363-01-40; 04; 104","","Бурнова Татьяна Викторовна","+7 (383) 363-01-41"
"Диспетчерские службы коммунального хозяйства","МУП Энергия (теплоснабжение и горячая вода)","+7 (383) 301-50-21","Круглосуточно","Иварнев Сергей Александрович","+7 (383) 224-09-07"
"Диспетчерские службы связи","Новосибирский филиал ПАО Ростелеком","+7 (383) 266-25-30; +7 (383) 218-37-97","","Ленин Николай Сергеевич","+7 (383) 219-11-02"
"Диспетчерские службы связи","Новосибирский филиал ПАО МТС","+7 (800) 250-08-90; 0890","Круглосуточно","Паромов Алексей Львович","+7 (800) 250-09-90"
"Диспетчерские службы связи","Новосибирский филиал Tele2. ООО Т2 Мобайл","+7 (383) 380-00-01","","Воздрин Алексей Владимирович","+7 (383) 380-00-01"
"Диспетчерские службы связи","Новосибирский филиал Beeline. Сотовый оператор связи","+7 (800) 700-06-11; 0611","Круглосуточно","Данков Александр Александрович","+7 (383) 359-05-55"
"Диспетчерские службы связи","Новосибирский филиал Мегафон. Сотовый оператор связи","+7 (800) 333-05-00","","Сидоров Вадим Викторович","+7 (383) 322-95-55"
"Диспетчерские службы транспорта","МКУ ЦУДМЭТ","+7 (383) 347-00-47","Круглосуточно","Сеновцов Дмитрий Михайлович","+7 (383) 222-70-63"
"Диспетчерские службы транспорта","МУП города Новосибирска Новосибирский метрополитен","+7 (383) 222-49-80; +7 (383) 222-71-19","Круглосуточно","Чмутайло Аркадий Владимирович","+7 (383) 238-81-10"
